# Legacy xfail-only format (test_name<TAB>mode<TAB>profile).
# Prefer `utils/yosys-sva-bmc-expected.txt` for new baselines.
#
# test_name<TAB>mode<TAB>profile
# profile:
#   known  -> BMC_ASSUME_KNOWN_INPUTS=1
#   xprop  -> BMC_ASSUME_KNOWN_INPUTS=0
#
# `counter` fail-mode is assumption-profile sensitive in current lowering.
# Under known-input assumptions it currently does not produce a counterexample.
counter	fail	known

# Under xprop profile (BMC_ASSUME_KNOWN_INPUTS=0), unconstrained 4-state
# inputs can drive pass-mode counterexamples in the following tests.
basic00	pass	xprop
basic01	pass	xprop
basic02	pass	xprop
basic03	pass	xprop
counter	pass	xprop
extnets	pass	xprop
sva_not	pass	xprop
sva_value_change_sim	pass	xprop
